epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3717,1.48305,3.22613,1.1919,0.46925,0.60671,0.44143,0.25704,1.24075,2.30129,0.95856,0.000408951,0.000408951,0.000408951
2,28.9155,1.38555,1.36542,1.15357,0.72895,0.36884,0.48903,0.28472,1.40434,1.91895,1.0744,0.000817444,0.000817444,0.000817444
3,41.7737,1.4387,1.22117,1.17639,0.50421,0.34399,0.29898,0.15298,1.3962,4.78078,1.07635,0.00121769,0.00121769,0.00121769
4,54.4444,1.43164,1.15365,1.16931,0.69678,0.54591,0.58006,0.34823,1.25144,2.1081,1.01965,0.00121287,0.00121287,0.00121287
5,67.1591,1.38069,1.06474,1.14816,0.4442,0.44366,0.38735,0.20232,1.3538,1.71844,1.03723,0.0012005,0.0012005,0.0012005
6,79.8754,1.33877,1.0124,1.11757,0.74743,0.44436,0.4981,0.27311,1.48625,2.44883,1.06618,0.00118812,0.00118812,0.00118812
7,92.324,1.34964,0.9714,1.12872,0.67366,0.54123,0.58508,0.34018,1.29906,1.27357,0.98948,0.00117575,0.00117575,0.00117575
8,104.993,1.30026,0.90361,1.11283,0.7653,0.54612,0.62092,0.35606,1.33565,1.43092,1.02566,0.00116337,0.00116337,0.00116337
9,117.538,1.29793,0.89999,1.12339,0.80328,0.55395,0.65716,0.38589,1.30589,1.12343,1.01672,0.001151,0.001151,0.001151
10,130.175,1.25202,0.8494,1.0778,0.77137,0.63486,0.71499,0.40679,1.28691,0.93838,0.98478,0.00113863,0.00113863,0.00113863
11,142.798,1.21689,0.81881,1.06808,0.64243,0.6231,0.64602,0.38307,1.28465,1.09885,0.99007,0.00112625,0.00112625,0.00112625
12,155.346,1.21963,0.81339,1.06671,0.77219,0.70446,0.74924,0.39297,1.39039,0.99501,1.01432,0.00111388,0.00111388,0.00111388
13,167.779,1.19719,0.77923,1.05412,0.87622,0.65132,0.76311,0.41929,1.2716,0.94546,1.00198,0.0011015,0.0011015,0.0011015
14,180.305,1.1825,0.75763,1.04712,0.78694,0.67491,0.74059,0.40243,1.32977,1.0357,0.98427,0.00108913,0.00108913,0.00108913
15,192.789,1.19194,0.77182,1.05059,0.755,0.57108,0.66109,0.34761,1.36034,1.17161,1.01555,0.00107675,0.00107675,0.00107675
16,205.35,1.15592,0.74199,1.03385,0.89025,0.74564,0.80558,0.4683,1.21322,0.85456,0.97284,0.00106437,0.00106437,0.00106437
17,217.94,1.14624,0.71295,1.02248,0.85518,0.74497,0.81167,0.46859,1.34734,0.86191,1.00158,0.001052,0.001052,0.001052
18,230.584,1.13756,0.72024,1.0263,0.92648,0.62688,0.75572,0.45329,1.25837,0.92533,1.0027,0.00103962,0.00103962,0.00103962
19,243.063,1.10141,0.69214,1.01194,0.86036,0.70972,0.74149,0.43255,1.26481,0.98043,1.00427,0.00102725,0.00102725,0.00102725
20,255.531,1.08162,0.67151,1.00675,0.81091,0.62597,0.74481,0.44362,1.20917,0.94269,0.97096,0.00101488,0.00101488,0.00101488
21,268.169,1.09124,0.66917,1.00678,0.81931,0.74779,0.81837,0.45147,1.25513,0.81826,0.99033,0.0010025,0.0010025,0.0010025
22,280.821,1.07214,0.66167,1.0094,0.87001,0.68607,0.77257,0.45025,1.28343,0.91096,1.0084,0.000990125,0.000990125,0.000990125
23,293.371,1.07288,0.67613,1.00102,0.92124,0.71506,0.81724,0.4848,1.23621,0.77767,0.97444,0.00097775,0.00097775,0.00097775
24,306.034,1.03597,0.63938,0.98542,0.88379,0.74403,0.81674,0.47999,1.24407,0.76906,0.96534,0.000965375,0.000965375,0.000965375
25,318.813,1.01888,0.63786,0.97692,0.82591,0.71893,0.80894,0.49224,1.24173,0.8128,0.97293,0.000953,0.000953,0.000953
26,331.701,1.03902,0.64099,0.98795,0.91439,0.72669,0.8283,0.49602,1.24576,0.77109,0.97076,0.000940625,0.000940625,0.000940625
27,344.15,1.0281,0.63339,0.99592,0.8912,0.77253,0.82238,0.48802,1.28078,0.80238,0.98289,0.00092825,0.00092825,0.00092825
28,356.605,1.02442,0.62641,0.97738,0.87287,0.76689,0.83349,0.51703,1.20414,0.80646,0.97705,0.000915875,0.000915875,0.000915875
29,369.146,1.00247,0.61084,0.96642,0.77302,0.77739,0.81906,0.49472,1.21081,0.82286,0.96374,0.0009035,0.0009035,0.0009035
30,381.579,0.98962,0.60609,0.97052,0.87034,0.73806,0.83426,0.48313,1.24292,0.74598,0.9928,0.000891125,0.000891125,0.000891125
31,394,0.99479,0.60206,0.96774,0.8431,0.75155,0.78983,0.47851,1.23668,0.83064,0.96414,0.00087875,0.00087875,0.00087875
32,406.343,0.98412,0.59724,0.96454,0.82095,0.75958,0.8212,0.47936,1.24269,0.8137,0.97842,0.000866375,0.000866375,0.000866375
33,418.797,0.96538,0.59139,0.9599,0.86082,0.71842,0.81025,0.48124,1.23762,0.8397,0.97509,0.000854,0.000854,0.000854
