epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1414,1.4025,3.18037,1.1318,0.52065,0.51055,0.46607,0.25477,1.25093,1.70737,0.94732,0.000409722,0.000409722,0.000409722
2,32.8515,1.33527,1.39191,1.14569,0.49131,0.56481,0.51926,0.28675,1.30977,1.6745,0.97954,0.000822298,0.000822298,0.000822298
3,47.4539,1.37064,1.19788,1.17337,0.63875,0.37516,0.3741,0.21756,1.39504,1.7275,1.03985,0.00123075,0.00123075,0.00123075
4,62.3412,1.34462,1.12165,1.13806,0.5537,0.50015,0.4878,0.2666,1.31249,1.95818,1.02474,0.00123144,0.00123144,0.00123144
5,76.8609,1.34069,1.07304,1.14538,0.38973,0.39873,0.35497,0.19625,1.3191,5.51167,1.0164,0.00122525,0.00122525,0.00122525
6,91.2864,1.32406,0.96644,1.1417,0.76272,0.58157,0.66363,0.34333,1.32997,1.11705,1.02514,0.00121906,0.00121906,0.00121906
7,105.812,1.30333,0.96828,1.12985,0.8391,0.60031,0.69483,0.39772,1.20481,1.12979,0.95996,0.00121287,0.00121287,0.00121287
8,120.281,1.26036,0.91037,1.10494,0.74285,0.57147,0.65687,0.38368,1.28277,1.14793,1.01672,0.00120669,0.00120669,0.00120669
9,134.768,1.22476,0.87816,1.08287,0.6758,0.63315,0.64847,0.3598,1.28577,1.07955,0.99226,0.0012005,0.0012005,0.0012005
10,149.236,1.24483,0.86656,1.08568,0.86203,0.6452,0.75431,0.43756,1.17592,0.91171,0.97022,0.00119431,0.00119431,0.00119431
11,163.708,1.21242,0.83129,1.08027,0.79585,0.64913,0.71227,0.41206,1.24177,0.94836,1.00023,0.00118812,0.00118812,0.00118812
12,178.102,1.19591,0.81169,1.07508,0.90733,0.67927,0.76878,0.44764,1.18598,0.86743,0.96049,0.00118194,0.00118194,0.00118194
13,192.405,1.18893,0.80525,1.07031,0.77943,0.6653,0.74777,0.41516,1.23529,1.09483,0.97299,0.00117575,0.00117575,0.00117575
14,206.743,1.13116,0.75198,1.04347,0.89442,0.71995,0.82835,0.481,1.1742,0.72713,0.97351,0.00116956,0.00116956,0.00116956
15,221.094,1.13642,0.76259,1.03379,0.82591,0.72791,0.77673,0.46483,1.1142,0.84236,0.94144,0.00116337,0.00116337,0.00116337
16,235.376,1.1285,0.80305,1.03581,0.7992,0.73907,0.81208,0.48687,1.14592,0.73022,0.94957,0.00115719,0.00115719,0.00115719
17,249.835,1.11751,0.7583,1.0274,0.90746,0.6646,0.7935,0.47243,1.13628,0.71377,0.95275,0.001151,0.001151,0.001151
18,264.252,1.09341,0.71869,1.0062,0.90191,0.68783,0.78692,0.48333,1.19088,0.80824,0.95542,0.00114481,0.00114481,0.00114481
19,278.565,1.06009,0.6872,1.00705,0.93166,0.71487,0.80712,0.49999,1.11095,0.75116,0.94983,0.00113863,0.00113863,0.00113863
20,293.139,1.07736,0.71119,1.01655,0.88207,0.68181,0.78338,0.47222,1.11719,0.86086,0.95368,0.00113244,0.00113244,0.00113244
21,307.531,1.04415,0.68891,1.00849,0.86144,0.71672,0.76576,0.48498,1.09334,0.79804,0.93992,0.00112625,0.00112625,0.00112625
22,321.968,1.04406,0.67965,1.00331,0.90844,0.68797,0.7978,0.46134,1.24973,0.70618,0.99671,0.00112006,0.00112006,0.00112006
23,336.559,1.04545,0.66897,0.99406,0.85657,0.70847,0.75289,0.48314,1.10899,0.96595,0.94461,0.00111388,0.00111388,0.00111388
24,351.036,1.06913,0.69062,1.00114,0.83754,0.68443,0.75737,0.46994,1.11832,0.90061,0.93404,0.00110769,0.00110769,0.00110769
25,365.531,1.01404,0.67209,0.98786,0.86041,0.68872,0.78738,0.49453,1.10659,0.70034,0.94574,0.0011015,0.0011015,0.0011015
26,380.081,1.00728,0.64378,0.99228,0.8631,0.75882,0.82433,0.51434,1.0993,0.66058,0.93508,0.00109531,0.00109531,0.00109531
27,394.559,0.98868,0.65038,0.97709,0.8383,0.73575,0.80482,0.50746,1.12907,0.69965,0.93057,0.00108913,0.00108913,0.00108913
28,409.078,1.00572,0.66265,0.98667,0.86202,0.695,0.80898,0.49713,1.10365,0.72081,0.93636,0.00108294,0.00108294,0.00108294
29,423.422,0.99493,0.62926,0.9818,0.82362,0.7716,0.80296,0.48981,1.1316,0.70948,0.96299,0.00107675,0.00107675,0.00107675
30,437.893,0.98551,0.65639,0.96775,0.83962,0.77484,0.82703,0.51133,1.06473,0.64979,0.93251,0.00107056,0.00107056,0.00107056
31,452.394,0.96445,0.61932,0.9638,0.90242,0.77197,0.84232,0.50995,1.15568,0.63863,0.94759,0.00106437,0.00106437,0.00106437
32,466.82,0.97462,0.62086,0.95896,0.88285,0.72117,0.82006,0.49613,1.13646,0.68078,0.95432,0.00105819,0.00105819,0.00105819
